Date Released,Song Title,Artist(s),Target(s),Year Released,lyrics
18-Feb-03,"""Just Drop Dead""",Limp Bizkit,Britney Spears,2003,
8-Jul-03,"""Can't Hold Us Down""",Christina Aguilera,Eminem,2003,"So what am I not supposed to have an opinion
Should I be quiet just because I'm a woman
Call me a bitch cos I speak what's on my mind
Guess it's easier for you to swallow if I sat and smiled
When a female fires back

Suddenly the target don't know how to act

So he does what any little boy will do

Making up a few false rumors or two



That for sure is not a man to me

Slanderin' names for popularity

It's sad you only get your fame through controversy 

But now it's time for me to come and give you more to say



This is for my girls all around the world

Who've come across a man who don't respect your worth

Thinking all women should be seen, not heard

So what do we do girls?

Shout louder!

Letting them know we're gonna stand our ground

Lift your hands high and wave them proud

Take a deep breath and say it loud

Never can, never will, can't hold us down



Nobody can hold us down

Nobody can hold us down

Nobody can hold us down

Never can, never will



So what am I not supposed to say what I'm saying

Are you offended by the message I'm bringing

Call me whatever cos your words don't mean a thing

Guess you ain't even a man enough to handle what I sing



If you look back in history

It's a common double standard of society

The guy gets all the glory the more he can score

While the girl can do the same and yet you call her a whore



I don't understand why it's okay

The guy can get away with it & the girl gets named

All my ladies come together and make a change

Start a new beginning for us everybody sing



This is for my girls all around the world

Who've come across a man who don't respect your worth

Thinking all women should be seen, not heard

What do we do girls?

Shout louder!

Letting them know we're gonna stand our ground

Lift your hands high and wave 'em proud

Take a deep breath and say it loud

Never can, never will, can't hold us down



Check it - Here's something I just can't understand

If the guy have three girls then he's the man

He can either give us some head, sex her off

If the girl do the same, then she's a whore

But the table's about to turn

I'll bet my fame on it

Cats take my ideas and put their name on it

It's aiight though, you can't hold me down

I got to keep on movin'

To all my girls with a man who be tryin to mack

Do it right back to him and let that be that

You need to let him know that his game is whack

And Lil' Kim and Christina Aguilera got your back



But you're just a little boy

Think you're so cute, so coy

You must talk so big 

To make up for small lil' things

So you're just a little boy

All you'll do is annoy

You must talk so big 

To make up for small lil' things



This is for my girls...

This is for my girls all around the world

Who've come across a man who don't respect your worth

Thinking all women should be seen, not heard

So what do we do girls?

Shout louder!

Letting them know we're gonna stand our ground

Lift your hands high and wave 'em proud

Take a deep breath and say it loud

Never can, never will, can't hold us down



This is for my girls all around the world

Who've come across a man who don't respect your worth

Thinking all women should be seen, not heard

So what do we do girls?

Shout louder!

Letting them know we're gonna stand our ground

Lift your hands high and wave 'em proud

Take a deep breath and say it loud

Never can, never will, can't hold us down

Spread the word, can't hold us down"
7-Oct-03,"""Be a Man""",Randy Savage,Hulk Hogan,2003,"Huh Hulk Hogan, Hollywood Hulkster
ahatever they call you, I'm comin after you, you coward
Hot diggity damn Hulk I'm glad you set it off (set if off)
Used to be hard Hulk now ya done turned soft
Doin' telephone commercials I seen ya

Dancin' in tights as a ballerina

I knew all along you had those tendencies

Cuz you've been runnin' from Macho like I got a disease

Dude please your pay per view event was a joke

You're avoidin' Randy Savage cuz you know you'll get smoked

Come on that phony fight the Rock spanked you fast

But when I challenged Hogan to a real fight he passed

I called him out but the punk was scared to go

It was a charity event but the Hulk didn't show

Hollywood Hulkster you're at the end of your rope

And I'm a kick ya in the butt and wash your mouth out with soap

Cuz like Rodney Dangerfield you gets' no respect

So come on Hulk let's wreck so I can put you in check



Be a man Hulk Come on don't be scared

Your runnin' from Macho that's what I heard



Be a man Hogan Come on don't be a chump"
2004,"""Foame de bani""",La Familia,B.U.G. Mafia,2004,
2004,"""No W""",Ministry (band),"George W. Bush, Dick Cheney, Colin Powell",2004,
9-Mar-05,"""Checkmate""",Jadakiss,50 Cent,2005,"You did it baby!
Congratulations, homie!
You made history!
1.1 million in a short week! (laughs)
Screw a press conference, press this on your conscience!
D-Block, cheers!

Yeah!

I ain't mad, I don't wanna sound mad, I feel marvelous..

D-Block, Double R, fuckin' faggots..





We gon' handle this like grown men, you won't win

You don't even feel comfortable in your own skin

I rap my ass off, I'm fightin' the champ with the glass jaw

at the Garden or Nassau

See me, couple hood niggaz behind stars

I heard you put a couple good niggaz bars, (Preme!)

I might never sell that much

But you can bet your last 2 quarters, I never tell that much

Picture 'Kiss not come out swingin'

It's like going to see 50 at a show and he don't come out singin'

Yeah, you got a felony, but you ain't a predicate

Never the King of New York, you live in Connecticut

You don't be in the hood, you be in the woods

Fuckin' wit' me, is where you really gon' be for good

I hold the 4-5 myself, and hop out the Range on 1-4-5 myself

This is a true fact

Since when has it become cool to get shot and not shoot back

Trackmasters shelfed you, Bravehearts helped you

Then everybody felt you, now I gotta melt you

And don't try to pull rank on 'Kiss

Cause the niggaz I'ma send to do it ain't gon' miss

Be layed up stiff, I spit straight up 'piph

I did real songs with BIG, no made-up shits

And I don't got a problem with clout

You ain't get shot again yet, so what's your second album about? (Nothin'!)

Your raps are pre-school, you made a lot of money, now be cool

'Fore I swell up your lips like seafood

Can I get a mic check? You don't stand a chance

To dance with me dog, ya steps ain't right yet

Block is just fine, homie, the D's straight

Most likely your new CD is a weed plate

Bunch of love songs, 100% pure garbage

Just somethin' to break up buds on

You should just sell clothes and sneakers

Cause outta your whole camp your flow's the weakest

I'm in the town where the young boys is clappin', (clappin')

You runnin' around with the lieutenant and captain, (laughs)

It'll take a lifetime to see 'Kiss

You had to get shot 9 times to be rich



Rat ass nigga, you's a animal

You's a motherfuckin' animal



Pig ass nigga, you's a animal

You's a motherfuckin' animal



Snake ass nigga, you's a animal

You's a motherfuckin' animal



Matter of fact, you ain't no animal

I'ma show these motherfuckers how to handle you



D-Block!"
22-Mar-05,"""Hollaback Girl""",Gwen Stefani,Courtney Love,2005,"Uh huh, this is my shit
All the girls stomp your feet like this 
A few times I've been around that track
So it's not just gonna happen like that
Because I ain't no hollaback girl

I ain't no hollaback girl [x2]



Ooooh ooh, this my shit, this my shit [x4]



I heard that you were talking shit

And you didn't think that I would hear it

People hear you talking like that, getting everybody fired up

So I'm ready to attack, gonna lead the pack

Gonna get a touchdown, gonna take you out

That's right, put your pom-poms downs, getting everybody fired up



A few times I've been around that track

So it's not just gonna happen like that

Because I ain't no hollaback girl

I ain't no hollaback girl [x2]



Ooooh ooh, this my shit, this my shit [x4]



So that's right dude, meet me at the bleachers

No principals,no student-teachers

Both of us want to be the winner, but there can only be one

So I'm gonna fight, gonna give it my all

Gonna make you fall, gonna sock it to you

That's right I'm the last one standing, another one bites the dust



A few times I've been around that track

So it's not just gonna happen like that

Because I ain't no hollaback girl

I ain't no hollaback girl [x2]



Ooooh ooh, this my shit, this my shit [x4]



Let me hear you say this shit is bananas

B-A-N-A-N-A-S

(This shit is bananas)

(B-A-N-A-N-A-S)



Again

This shit is bananas

B-A-N-A-N-A-S

(This shit is bananas)

(B-A-N-A-N-A-S)



A few times I've been around that track

So it's not just gonna happen like that

Because I ain't no hollaback girl

I ain't no hollaback girl [x2]



Ooooh ooh, this my shit, this my shit [x4]"
22-May-06,"""Georgia Bush""",Lil Wayne,George Bush,2006,"This song right here, is dedicated to the president of the United States of America
Y'all might know him as George Bush
But where I'm from, lost city of New Orleans... we call him this
(Georgia x 8 with Wayne)

Noooowww

This song is dedicated to the one wit the suit

Thick white skin and his eyes bright blue

So called beef wit you know who

Fuck it he just let him kill all of our troops

Look at the bullshit we been through

Had the niggas sittin on top they roofs

Hurricane Katrina, we shoulda called it Hurricane (Geeoorrggiaa) Bush

Then they tellin y'all lies on the news

The white people smiling like everythin cool

But I know people that died in that pool

I know people that died in them schools

Now what is the survivor to do?

Got to no trailer, you gotta move

Now it's on to Texas and to (Geeoorrggiiaa)

They tell you what they want, show you what they want you to see

But they don't let you know what's really goin on

Make it look like a lotta stealin goin on

Boy them cops is killas in my home

Nigga shot dead in the middle of the street

I ain't no thief, I'm just tryin to eat

Man fuck the police and president (Geeoorrrggiiaa) Bush

So what happened to the leverage, why wasn't they steady

Why wasn't they able to control this?

I know some fok' that live by the lever

that keep on tellin me they heard this, stole this

Same shit happened back in Hurricane Betsy

1965, I ain't too young to know this

That was President Johnson now

but it's president (Geeoorrggiiaa) Bush



[Chorus - 2X]

We from a town where (Georgia)

Everybody drowned, and

Everybody died, but baby I'm still prayin wich ya

Everybody cryin but (Georgia)

Aint nobody tried, there's no doubt on my mind it was (Georgia) Bush



Noooowwww

I was born in the boot at the bottom of the map

New Orleans baby, now the white house hatin, tryin to wash away like we not on the map

Wait, have you heard the latest, they sayin you gotta have paper if you tryin to come back

Niggas thinkin it's a wrap, see we can't hustle in they trap, we ain't from (Geeoorrggiaa)

Noooww it's them dead bodies, them lost houses, the mayor say dont worry bout it

And the children have been scarred, no ones here to care bout em

And fash out, to all the rappers that helped out

Yea we like it they callin y'all, but fuck president (Geeoorrggiaa) Bush

We see them Confederate flags, you know what it is

A white cracker muthafucka that probably voted for him

And no he ain't gonna drop no dollas, but he do drop bombs

R.I.P. Tay cuz he died in the storm, fuck president (Geeoorrggiiaa) Bush

See us in ya city man, give us a pound

Cuz if a nigga still movin then he holdin it down

I had two Jags, but I lost both them bi-tch-es

I'm from N.O. the N.O. Yea!



[Chorus]



(DJ Drama: oh yea, you thought we was done? Naw)



YEA!

Money money money get a dollar and a dick

Weezy Baby that crack, muthafucka get a fix

Got money out the ass, no homo but I'm rich

Bout to go get surgery and put some diamonds on my wrist YES

Yep, I'm a muthafuckin trip

I'ma trip to Japan and buy some brand new shit

Nine hundred to a grand, get you twenty eight grams

If you talkin bout bricks, I'm the interstate man

And the women say damn, them niggas don't say a damn thing

Boy I bet that shotty make you bounce like a bed-spring

Walkin a thin line, gotta defend mine

And wit no pen I'm sorta like a bomb BOOM

Young toon, yea that's what my people call me

Fifty thousand for the cause, tryin keep the reaper off me

I drink a lotta syrup, bitches say I'm sleep walkin

Big money for the grill, so I'm never cheap talking, yea

Keep talking and the flame leap off the hip

And keep sparking, pap pap sleep softly

Yea, nap nap, nap sack, three forties

Like fuck another nigga, nigga just don't be da target

Young New Orleans nigga, nigga just don't be retarded

We done lost everythin and you lookin like a bargain

Purple weed, purple drink, purple heart sergeant

I'm the best rapper in the game no argin (arguing)



And I don't ever write, pause

Un-pause this, so keep ya bitch ass lines inside the margin

Lil Wayne dot com bitch log in

Put a pillow under your knees and keep ya jaws in

All in ya girl mouth, use her like a toilet

They usually want a baller and the young nigga ballin

Mike Jordan, pardon my swag

Even my father rich as fuck and all my brothers left the family

We said fuck it bought two houses in Miami

I can't wait to do cribs, MTV c'mon get at me

Any rapper wan get at me, tell ya label contact me

Half four hundred for a feature, wanna battle, I'll beat ya

I'm a beast, I'm a preacher, I'm the son of miss cita

Mom dukes, my jeter, she the reason, she the reason

Everybody woman wanna beat a boy diva, not even

There's a 305 dime I wanted ever since I seen her

Got a topic of this evenin, hotter than a tub steamin

Gotcha girlfriend dreamin of one day bein Trina

Notta sim seemer, ten ki's in the Beamer

Got a white girl drivin, couldn't do it much cleaner

I'm fly in the sky like that muthafuckin ribbon

Bitches got my name on em, and the nigga still livin

Spend a condo and a club, one bottle won't do

Two bottles won't do, bottles for the whole crew, thanks

And bring me that Patrone, I don't play

No ice I like my drink straight, not gay

And bitch that bank come everyday, I'm paid

I wish a nigga come invade, get sprayed

I stomp a nigga out like I got ten legs

Then they fish the nigga up out the lake in ten days

Behave, no ho, I'm on that Rage Rov

Cash Money, Young Money, ho that money age old

And can't a cage hold this animal from Hollygrove

Sorry mami I be stoned, I be, I be, I be blowed

Got me copy rock star, Weezy Baby fuck these hos

Gotta pay me now for me to even take these hos

Price sizin for a show and the flow

So either Drama is my nigga, or that boy got doe

Go figure that's my nigga, that's my nigga, my nerve

If anybody else want it, sixty thousand a verse



(Thanks to DerK for these lyrics)"
21-Nov-06,"""Don't Stop""",Outlawz,C. Delores Tucker and Bob Dole,2006,
22-Aug-06,"""Jealousy""",Paris Hilton,Nicole Richie,2006,"I thought you were my best friend
I thought we'd be together to the end
Your not the girl I once knew
Tell me were she is cause she's not you
You used to be that shoulder 
That shoulder I could lean on through it all

But now its getting colder 

There's no love between these walls



Jealousy, Jealousy, Jealousy 

Is such an evil thing

To watch someone have

Jealousy, Jealousy, Jealousy

Nobody wins when your full of envy

La, La, La, La......



I was always happy

When I was watching you become a star

But you were only happy

When the world was openin' up my scars

And now I'm like the devil 

Well if I am then what does that make you

You sold yourself for your fame

You'll still never walk a day in my shoes



Jealousy, Jealousy, Jealousy 

Is such an evil thing

To watch someone have

Jealousy, Jealousy, Jealousy

Nobody wins when your full of envy

La, La, La, La......



(Thanks to j Slander for these lyrics)"
6-Feb-07,"""Give It to Me""",Timbaland feat. Nelly Furtado and Justin Timberlake,"Fergie, Scott Storch, Prince",2007,
14-Feb-07,"""Funeral Music""",50 Cent,Cam'ron,2007,
15-Feb-07,"""Curtis""",Cam'ron,50 Cent,2007,
16-Jun-09,"""Obsessed""",Mariah Carey,Eminem,2009,"""I was like, why you so obsessed with me?""

So, Oh, Oh-O- Oh. So, Oh, Oh-Oh-Oh.
So, Oh, Oh-O- Oh. So, Oh, Oh-Oh-Oh.
So, Oh, Oh-O- Oh. So, Oh, Oh-Oh-Oh.
So, Oh, Oh-O- Oh. So, Oh, Oh-Oh-Oh.

Will the real MC please step to the mic?

MC- You need an MC, place to be.

MC the MC.



All up in the blogs, sayin' we met at the bar,

When I don't even, know who you are.

Sayin' we up in your house, sayin' I'm up in your car,

But you in LA, and I'm out at Jermaine's.

I'm up in the A, you're so so lame,

And no one here, even mentions your name.

It must be the weed, it must be the E,

Cause you be poppin' hood, you get it poppin'.



Ahhh Ohhhh.

Why you so obsessed with me?

Boy I want to know, lyin' that you're sexing me.

When everybody knows, it's clear that you're upset with me.

Ohh, finally found a girl that you couldn't impress,

Last man on the earth, still couldn't get this.



You're delusional, you're delusional,

Boy you're losing your mind.

It's confusing yo, you're confused you know,

Why you wasting your time?

Got you all fired up, with your Napoleon complex,

Seein' right through you like you're bathin' in Windex.



Ooh Ohh Ohh.

Boy why you so obsessed with me?

So, Oh, Oh-Oh- Oh. So, Oh, Oh-Oh-Oh.

And all the ladies sing,

So, Oh, Oh-Oh- Oh. So, Oh, Oh-Oh-Oh.

All the girls sing.

(Obsessed, obsessed, obsessed, obsessed, obsessed.)



You on your job, you hatin' hard,

Ain't goin' feed you, I'mma let you starve.

Graspin' for air, and I'm ventilation,

You out of breath, hope you ain't waitin'.

Tellin' the world how much you miss me,

But we never were, so why you trippin'?

You a mom and pop, I'm a corporation,

I'm the, press conference, you're a conversation.



Ahhh Ohhhh.

Why you so obsessed with me?

And boy I want to know, lyin' that you're sexing me.

When everybody knows, it's clear that you're upset with me.

Ohh, finally found a girl that you couldn't impress,

Last man on the earth, still couldn't get this.



You're delusional, you're delusional,

Boy you're losing your mind. (Mind)

It's confusing yo, you're confused you know,

Why you wasting your time? (Mind)

Got you all fired up, with your Napoleon complex,

Seein' right through you like you're bathin' in Windex.



Ooh Ohh Ohh.

Boy why you so obsessed with me?

So, Oh, Oh-Oh- Oh. So, Oh, Oh-Oh-Oh.

And all the ladies sing,

So, Oh, Oh-Oh- Oh. So, Oh, Oh-Oh-Oh.

All the girls sing.

(Obsessed, obsessed, obsessed, obsessed, obsessed.)



Ahhh Ohhhh.

Why you so obsessed with me? (He's all up in George Foreman).

And boy I want to know, lyin' that you're sexing me. (Lying that you're sexing me.)

When everybody knows, it's clear that you're upset with me. (Ay)

Ohh, finally found a girl that you couldn't impress, (Ohh)

Last man on the earth, still couldn't get this.

You're delusional

You're delusional

You're delusional

You're delusional

You're delusional

You're delusional

You're delusional

You're delusional"
28-Jul-09,"""Ovarios""",Jenni Rivera,Graciela Beltran,2009,"Que alboroto traen conmigo
como les esta calando
en el negocio de grandes
la señora esta rifando
ay me traen de boca en boca
quieren quitarme del mando



Todos publican mi nombre

muchos con malas noticias

ya no ayan como quemarme

mientras me muero de risa

siganme dando mas fama

yo los miro de aca arriba



Sigan moviendo las Jefas

la saliva estan tirando

sigan poniendome peros

sigan buscandome el clavo

busquenle hasta que se encuentren



Los ovarios que me cargo..son ovarios de Playa Larga...



Dicen que viene la Jefa

miren como estoy temblando

no se de quien seran jefas

si nadie les hace caso

y las que dicen ser Reinas

son de un pueblo abandonado



Si fue el señor de los cielos

el que me puso en el puesto

no me quitaran de en medio

eso yo si se lo apuesto

la señora esta rifando

y me voy cuando yo quiero



No le busquen apeste al gas

si saben que van ayarle

pa que se meten conmigo

si no me meto con nadie

si querian que contestara

ahora vamos a atorarle



Sigan moviendo las Jefas

la saliva estan tirando

sigan poniendome peros

sigan buscandome el clavo

busquenle hasta que se encuentren



Los ovarios que me cargo...y grandotes!"
30-Jul-09,"""The Warning""",Eminem,Mariah Carey and Nick Cannon,2009,"[Intro: Eminem]
Only reason I dissed you in the first place
is cause you denied seein me
Now I'm pissed off
[Eminem]

Sit back homie relax, in fact grab a six-pack

Kick back while I kick facts, yeah Dre, sick track

Perfect way to get back, wanna hear somethin wick-wack?

I got the same exact tat that's on Nick's back

I'm (Obsesseed) now, oh gee

Is that supposed to be me, in the video with the goatee?

Wow Mariah, didn't expect you to go balls out

Bitch shut the fuck up, 'fore I put all them phone calls out

you made to my house when you was (Wild'n Out) before Nick

When you was on my dick and give you somethin to smile about

How many times you fly to my house, still tryin to count

Better shut your lyin mouth if you don't want Nick findin out

You probably think cause it's been so long

if I had somethin on you I woulda did it by now

Oh on the contrary Mary Poppins I'm mixin our studio session down

and sendin it to masterin to make it loud

Enough dirt on you to murder you

This is what the fuck I do, Mariah it ever occur to you

that I still have pictures? However you prefer to do

and that goes for Nick too, faggot you think I'm scurred of you?

You're gonna ruin my career you better get one

Like I'ma sit and fight with you over some slut bitch cunt

that made me put up with her psycho ass over six months

And only spread her legs to let me hit once

Yeah, what you gonna say I'm lucky? Tell the public

that I was so ugly that you fuckin had to be drunk to fuck me?

Second base, what the fuck you tell Nick pumpkin?

The second week we were dry humpin, that's gotta count for somethin

Listen girly, surely you don't want me to talk about

how I nutted early cause I ejaculated prematurely

And bust all over your belly and you almost started hurling

and said I was gross, go get a towel, your stomach's curling

Or maybe you do, but if I'm embarrassin me I'm embarrassin you

And don't you dare say it isn't true

As long as that song's gettin airplay I'm dissin you

I'm a hair away from gettin carried away and gettin sued

I was gonna stop at 16, that was 32

This is 34 bars, we ain't even third of the way through

""Damn Slim, Mariah play you,"" Mariah who?

Oh, did I say whore Nick? I meant a liar too

Like I been goin off on you all this time

for no reason, girl you out your alcoholic mind

Check your wine cellar, look at the amounts of all the wine

Like I fuckin sit around and think about you all the time

I just think this shit is funny when I pounce you on a rhyme

But fuck it now I'm 'bout to draw the line

And for you to cross it that's a mountain that I doubt you wanna climb

I can describe areas of your house you wouldn't find

on an episode of ""Cribs,"" a blow below the ribs

If I hear another word so don't go openin your jibs

Cause every time you do it's like an overload of fibs

I ain't sayin this shit again hoe, you know what it is

It's a warnin shot, 'fore I blow up your whole spot

Call my bluff and, I'll release every fuckin thing I got

Including the voicemails right before you flipped your top

when me and Luis were tryin to stick two CD's in the same slot



[Interlude]

""Slim Shady... ""

""Slim Shady...""



[Eminem {Mariah Carey samples}]

{""I love you""} I love you too

Let me whisper sweet nothings into your ear boo

Now what you say? {""It's nothin""} Yeah so what I'll do

is refresh your memory when you said {""I want you""}

Now should I, keep goin or should we call truce?

{""You think you're cute, right?""} You bet your sweet ass I do

{""I'm Mary Poppins, B""} And I'm Superman, ooh

{""Mary P - Slim Shady""} Comin at you

So if you'll still be my {""Baby girl""}

Then I'll still be your {""Superhero""}

{""Wilma M.""} Yeah, I'm right here

{""You like this!""} Nope, not anymore dear

It cuts like a {""knife""} when I tell you get a {""life""}

But I'm movin on with mine, Nick, is that your {""wife""}

Well tell her to shut her mouth then I'll leave her alone

If she don't {""stick to the script""} then I'ma just keep goin

Damn



[Outro]

""I see Mary Ann, Mary Ann's sayin cut the tape

Cut the tape, knife!"""
23-Feb-10,"""Cryin' Like a Bitch""",Godsmack,Nikki Sixx/MÃ¶tley CrÃ¼e,2010,"Strut on by like a king
Telling everybody they know nothing
And long live what you thought you were
And time ain't on your side anymore (anymore)
And so you tell me I

Can't take my chances

But I told you one too many times

And you were crying like a bitch



I'm tougher than nails

I can promise you that

Step out of line

And you get bitch-slapped back

And you can run

Your little mouth all day

But the hand of god

Just smacked you back into yesterday



And so you tell me I

Can't take my chances

But I told you one too many times

And you were crying like a bitch



And you wonder why

No one can stand you

And there's no denying

You were crying like a bitch

You were crying like a bitch



Blinded by your sacred faded past times

Only time is your enemy

Granted a second chance

To prove that your arrogance

Is stronger than you'll ever be

Is stronger than you can be



Oh stronger than you can be

Oh stronger than you can (be)



And so you tell me I

Can't take my chances

But I told you one too many times

And you were crying like a bitch



And you wonder why

No one can stand you

And there's no denying

You were crying like a bitch



You were crying like a bitch

You were crying like a bitch

You were crying like a bitch



Oh Bitch"
30-Oct-10,"""Roman's Revenge""",Nicki Minaj ft. Eminem,Lil' Kim,2010,
14-Feb-11,"""Black Friday""",Lil' Kim,Nicki Minaj,2011,"[Angie Martinez:]
It's funny 'cause, you know, we've been asking people what they wanted to know.
I mean, clearly, you've been having this thing with Kim.
And I don't know, just thinking about you and where you were from and that you're a rapper -
and I'm thinking, sure, I know things have gotten crazy and people are assuming -
even though you say it's not specifically about her - that Roman's Revenge is for Kim.

[Nicki Minaj:]

Umm, you know, she just really jumped and you gotta be careful when you pick fights.

And that's what I've learned in this business, you just never know -

[Lil' Kim:]

SHUT THE FUCK UP!



[Lil' Kim:]

Who the fuck want war?

Fed-Ex beef straight to your front door.

It'll be a murder scene,

I'm turning Pink Friday to Friday the 13th.

Aight you Lil' Kim clone clown,

All this buffoonery shit stops now.

Time for you to lay down, I'm sick of the fraud,

I put hands on this bitch like a spa massage.

We all know your last name's what got you your job,

You's a put together gimmick, somethin' like a collage.

Since you're putting on a show you gon' get the applause -

Clap clap with your frame like a fucking garage (Yeaaaah)

This hood shit, you and Drake ain't built for --

This the shit the other bitch almost got killed for.

I'm still counting what Hard Core generated.

Bet my shit keep spendin' like a syndicated.

Corny broad, I leave you bloody like you menstruated.

You hot air ass bitch shoulda BEEN deflated.

This ain't a championship fight, I BEEN the greatest.



See the fact is... what you doin', I did it.

You lames tryna clone my style and run wit it.

That's cool, I was the first one wit it -

You's a Lil' Kim wannabe, you just hate to admit it.

I'm the blueprint; you ain't nothin' brand new,

Check your posters and videos,

you'll always be number two.

I seen 'em come, I seen' em go, still I remain.

Sweetie, you goin' on your 14th minute of fame,

I'm over 10 years strong still running the game

Cut the comparisons I'm in the legendary lane.

Fighting for a spot? Child please, I'm solidified.

With my hands tied, you couldn't beat me if you bitches tried.

Either you high or sippin' that shit Wayne on

I get top dollar for whateva my name on

Go stick your head in a tornado - brainstorm.

I drop bombs. Flex. Napalm.

Black and yellow, will pull up in your ghetto,

Giuseppes when I step out, post it up in stilettos.

Pussy so pink like my Kitty sayin' Hello,

If I whistle they'll pistol whip you in all five boroughs.



I'm from Brooklyn, I be everywhere comfortably.

Now who pumped you and told you to come romp wit me?

You the type to run your mouth and then run from me

I'm poppin' off in your hood wit no company.

Come on, Queens ain't showin' you no love,

I was there the other night poppin' bottles with a thug.

You like Washington. Heifer, I'm Benji.

You got a buzz right now, and I had a frenzy.

Oh yeah, welcome to the fam... Fendi.

You needa stop, you're not hot, you're a burning match

That means the end is near soon, copy that?

Ho, I see...they really got you gassed

Like I'm a thing of the past.

Better slow down, dummy, you 'bout to crash

STINK PUSSY HO! I'm giving you a bath,

Thermometer in hand and I'm comin' for your ass.

Who you think you gettin' past?

'I see right through you,' your whole shit is made of glass.



[Snippet of Nicki Minaj's ""Right Thru Me"" plays]



I draw back, I'm a Brooklyn Borough bitch,

Rep for my borough bitch,

Never been the type to have beef and try to settle shit.

I ride out 'til the wheels fall off

And my niggas squeeze 'til the last shell go off.

Fuck your whole team, all I see is a bunch of weirdos.

You's a airhead bitch... scarecrow.

Ha, ain't nothing old 'bout my money bitch. (Ha ha)

This is grown liquid assets.

Benjamin's my daddy, you Young Money bastards!

You and Diddy? Sorry, bunch of swaggerjackers.

I mothered you hos, I should claim you on my income taxes.

Bobby Fisch in the flesh, talk about a great.

So on my next move, I'm yelling checkmate.

I smell a massacre. I'm Charles Manson,

You don't stand a chance wit her.

Jeffrey Dahmer, you lookin' like lunch to me.

'Bout to kill all you bitches like Ted Bundy.

Leave your whole head red like Peg Bundy.

You're hilarious, thanks for all the laughs -

You're garbage, so I'm taking out the trash.

You, shit on me? C'mon baby girl...

Ain't enough ass shots in the world!

You're a nuisance, you'll probably steal my new shit

But you could never fuck with me, so chuck it up, deuces.

All around the world I ball like a ball team.

I stack chips, call me Mrs. Rothstein.

Trix is for kids, silly rabbit, you're my offspring.

Kim more anticipated than a LeBron ring.



[Lil Kim mocking Nicki Minaj:]

""I mean I know... I know you guys asked me if Roman's Revenge was about Kim...

and no, I, it's not about Kim...

Actually if Kim thought it was about her, I'm so sorry.

I'm so sorry, I apologize, Kim.

I don't know, I just had temporary insanity... I lost my teeth and my mind..."""
20-Dec-11,"""Stupid Hoe""",Nicki Minaj,Lil Kim,2011,"I get it cracking like a bag bag
B-tch talkin she the queen, when she looking like a lab rat
I'm Angelina, you Jennifer
Come on b-tch, you see where Brad at
Ice my wrist's and I piss on b-tches
You can suck my diznik if you take this just is

You don't like them disses, give my ass some kisses

Yeah they know what this is, givin this the business

Cause I pull up and I'm stuntin' but I aint a stuntman

Yes I'm rockin' Jordans but I aint a jumpman

B-tches play the back cause they know I'm the front man

Put me on the dollar cause Im who they trusting

Ayo SB, whats the f-cks good?

We ship platinum, them b-tches are shipping wood

Them nappy headed hoes but my kitchen good

I wish, I wish, I wish, I wish, I wish, I wish

A b-tch would



You a stupid hoe, you a, you a stupid hoe (x3)

You a stupid hoe, (yeah) you a, you a stupid hoe

You a stupid hoe, you a, you a stupid hoe (stupid, stupid)

You a stupid hoe, you a, you a stupid hoe (stupid, stupid)

You a stupid hoe, you a, you a stupid hoe (stupid, stupid)

(stupid, stupid)



Look bubbles go back to your habitat

MJ gone and I aint having that

How you gon' be the stunt double to the nigga monkey

Top of that I'm in the Phantom looking hella chonky



Ice my wrist's and I piss on b-tches

You can suck my diznik if you take this just is

You don't like them disses, give my ass some kisses

Yeah they know what this is, givin this the business



Cause I pull up in that Porsche but I aint a Rossi

Pretty b-tches can only get in my posse

My name is Roman, last name is Zolanski

But no relation to Roman Polanski

Hey yo, baby, f-ck you and your EP

Who's gassin' this hoe? BP?

Hmm thinks, 1,2,3, do the Nicki Minaj blink

Cause these hoes start bustin'

Hoes is so crusty, these b-tches is my sons

And I don't want custody

Hoes start bustin'

Hoes is so crusty, these b-tches is my sons

And I don't want custody



You a stupid hoe, you a, you a stupid hoe (x3)

You a stupid hoe, (yeah) you a, you a stupid hoe

You a stupid hoe, you a, you a stupid hoe (stupid, stupid)

You a stupid hoe, you a, you a stupid hoe (stupid, stupid)

You a stupid hoe, you a, you a stupid hoe (stupid, stupid)

(stupid, stupid)



If you cute than a cuckooroll

If you sexy eat my cuckooroll

Put ya cape on, you a super hoe

2012, Im at the superbowl



Stupid hoes is my enemy

Stupid hoes is so wack

Stupid hoe shoulda befriended me

Then she coulda prolly came back



Stupid hoes is my enemy

Stupid hoes is so wack

Stupid hoe shoulda befriended me

Then she coulda prolly came back



You're a stupid hoe

You're a stupid hoe



F-ck you stupid hoe

I said f-ck a stupid hoe,

F-ck a stupid hoe

I said f-ck a stupid hoe,

F-ck a stupid hoe



I am the female Weezy..."
23-Mar-12,"""I Don't Give A""",Madonna and Nicki Minaj,Guy Ritchie and Lady Gaga,2012,
24-May-12,"""Exodus 23:1""",Pusha T,Drake and Lil Wayne,2012,
